CaseID,Q1,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q8,Q9A,Q9B,Q9C,Q9D,Q10A,Q10B,Q10C,Q10D,Q12,Q13,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q17,Q18,Q19a,Q19b,Q19c,Q19d,Q19e,Q20a,Q20b,Q20c,Q20d,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q23,Q24,Q24A,Q25a,Q25b,Q25c,Q25d,Q25e,Q25f,Q25g,XPARTY7,PARTY_1,PARTY_1_Other,PARTY_2,PARTY_3,PARTY_4,TEAPARTY3,XIDEO,xspanish,xprimelan,PARENT,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,weight,duration
16,2,1,1,3,2,3,3,3,3,2,2,2,2,2,1,2,2,1,1,2,2,2,3,2,3,1,1,3,3,3,1,3,1,1,2,1,3,2,2,2,3,3,2,2,3,2,1,2,3,3,2,1,3,3,1,1,1,3,3,2,1,1,1,1,1,3,1,5,3, , , ,2, ,2,1,5,0,66,6,4,12,4,5,2,1,2,1,15,1,1,4,9,1,93,0,0,0,0,2,5,1,.2694,9
17,2,1,4,4,4,3,3,3,3,3,1,1,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,1,2,3,2,3,2,3,3,2,2,1,1,3,1,3,1,3,3,1,3,3,3,3,1,3,3,1,2,1,1,2,1,1,1,1,1, ,1, , ,2,4,1,5,0,82,7,4,11,3,1,2,0,1,1,12,1,1,4,9,1,93,0,0,0,0,1,5,1,.7516,16
18,2,2,1,1,2,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,3,1,3,3,3,1,1,1,1,2,2,2,2,2,3,2,3,3,3,2,2,3,2,2,3,3,3,1,3,1,1,2,1,1,1,1,1,1,1,1,6,2, , ,2, , ,5,1,5,0,54,4,3,8,1,1,2,1,2,1,13,1,1,3,5,1,54,0,0,0,0,2,1,1,.9337,8
19,1,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,3,2,3,2,3,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1, ,1,3,1,1,1,1,1,1,1,3,3, , , ,1,3,5,1,5,0,23,1,1,12,4,3,2,0,3,1,16,5,1,1,1,1,12,0,0,0,0,3,7,1,2.3225,7
20,2,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3, ,1,1,1,1,2,1,2,1,1,2,1, ,2, , ,3,4,1,2,0,53,4,3,10,3,4,2,1,2,1,15,3,1,1,2,1,22,0,0,0,0,2,3,1,1.3079,14
21,2,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,1,3,3,1,1,3,2,2,2,2,1,2,2,2,3,2,2,2,3,3,2,3,3,3,1,3,1,3,2,1,2,2,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1, ,1, , ,3,6,1,5,0,50,4,3,12,4,1,2,1,3,1,18,1,1,2,3,1,35,0,0,0,0,3,7,1,.7733,32
22,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,2,3,3,3,3,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3, ,2,2,1,1,1,1,1,1,1,6,2, , ,2, , ,6,1,5,0,27,2,1,12,4,1,1,0,3,1,14,5,1,2,3,1,35,0,0,0,0,3,1,1,.9823,7
23,1,2,2,2,2,3,3,2,1,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,3,2,2,2,2,2,1,2,2,3,3,2,3,2,3,3,3,1,3,1,3,3,3,3,1,1,3,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1, ,1, , ,3,6,1,5,0,56,5,3,9,2,1,2,1,3,1,15,1,0,2,3,1,31,0,0,0,0,3,1,1,.7353,9
24,2,2,2,2,3,3,1,2,3,3,1,2,3,2,3,2,2,3,3,2,2,1,3,3,1,1,1,3,1,3,2,2,1,1,2,2,3,3,2,3,1,3,2,3,1,3,1,3,3,3,3,1,2,2,1,3,1, ,3,3,1,1,2,1,1,2,1,1,1, ,1, , ,1,4,1,5,0,33,2,2,13,4,1,2,1,1,3,10,3,1,2,4,2,41,0,0,0,0,1,1,1,.9778,7
25,2,3,2,3,3,1,1,3,3,3,1,2,1,2,3,3,1,1,1,2,2,1,3,2,2,1,1,3,2,3,3,3,2,1,2,3,3,3,3,3,3,3,3,3,1,3,1,3,3,1,3,2,3,2,3,3,2,1,1,3,1,1,1,2,2,1,2,5,3, , , ,2, ,4,1,5,0,30,2,2,12,4,1,1,0,2,3,12,1,1,3,6,2,63,0,0,0,0,2,1,1,.9784,11
26,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,3,2,1,2,2,2,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,3,3,2,3,3,2,2,2,3,3,1,3,3,3,3,1,1,3,1,2,1, ,2,1,1,1,1,1,1,1,1,5,5, , , ,2, ,2,1,1,0,23,1,1,8,1,4,2,0,3,1,9,5,0,3,5,2,59,0,0,0,0,3,4,1,1.3764,9
27,1,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,2,3,1,3,3,1,1,3,2,3,3,2,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,1,1,1,1,2,2,1,1,5,3, , , ,2, ,3,1,5,1,26,2,1,12,4,1,2,1,3,3,7,1,1,4,8,2,87,1,0,0,0,2,7,1,.9112,6
28,2,2,3,2,2,3,3,2,1,3,3,2,3,3,1,2,1,3,-1,3,3,1,1,1,1,1,1,3,1,2,3,3,3,1,2,3,3,2,3,3,3,3,3,3,1,3,3,3,-1,1,2,1,1,2,1,2,2,1,1,3,1,1,2,1,1,2,1,2,1, ,2, , ,3,4,1,5,0,69,6,4,14,4,1,2,1,2,3,16,1,1,3,5,1,59,0,0,0,0,2,5,1,.708,9
29,2,2,1,2,1,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,3,1,3,2,1,1,2,2,1,2,3,2,2,2,3,2,2,1,3,3,2,3,3,3,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,5,5, , , ,2, ,1,1,5,1,45,4,3,10,3,5,2,1,5,1,10,1,0,4,9,2,95,0,0,1,1,3,6,1,.5616,12
30,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,2,1,3,2,1,1,1,3,2,3,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1,2,1,3,3,1,1,1,2,2,2,1,5,3, , , ,2, ,2,1,5,0,46,4,3,13,4,1,1,1,2,3,14,1,0,1,1,2,13,0,0,0,0,2,1,1,.7251,4250
31,2,4,2,3,3,3,1,2,1,3,1,2,1,1,3,3,1,3,1,1,3,3,3,2,1,3,2,1,2,3,2,3,2,3,2,3,1,2,3,1,2,1,2,3,1,2,1,3,1,3,3,2,3,3,2,2,3,3,3,1,1,1,2,2,1,2,1,1,1, ,1, , ,3,6,1,5,0,66,6,4,12,4,1,1,1,2,1,17,1,1,1,1,1,12,0,0,0,0,2,5,1,.6411,11
32,2,3,3,3,3,1,1,2,1,3,1,2,1,2,1,2,2,3,1,2,2,3,3,2,2,1,1,2,3,2,3,3,3,1,1,2,3,3,3,3,2,1,2,2,1,2,1,1,1,2,1,3,3,3,3,3,3,3,3,1,1,2,1,1,1,2,2,5,3, , , ,2, ,3,1,5,1,35,3,2,12,4,1,1,1,4,1,14,1,1,2,3,1,34,0,0,2,0,2,1,1,.9145,21
33,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,1,3,3,3,3,3,3,1,3,3,2,3,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,6,2, , ,2, , ,4,1,5,1,48,4,3,10,3,5,2,0,5,1,15,1,1,4,8,2,86,0,1,1,0,3,7,1,.3972,2421
34,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,3,3,3,1,2,3,1,1,1,3,3,2,2,3,3,2,2,3,3,3,2,3,3,2,1,3,3,3,1,2,3,2,3,1,1,1,1,1,1,1,4,3, , , ,-1, ,2,1,5,0,62,5,4,13,4,1,1,1,2,1,18,1,1,3,6,1,62,0,0,0,0,2,5,1,.6933,7
35,2,3,2,3,3,3,1,3,1,3,1,2,2,2,3,3,2,1,1,1,1,1,3,3,3,1,1,2,2,2,3,3,1,1,2,1,3,3,3,2,2,3,2,2,1,3,3,3,1,2,1,2,2,3,2,1,1,3,2,3,2,1,2,1,2,2,1,1,1, ,1, , ,1,7,1,5,0,84,7,4,9,2,1,1,1,3,1,14,1,1,4,8,3,86,0,0,0,0,3,5,1,.7219,12
36,2,2,1,1,2,3,3,3,3,3,3,2,3,3,3,2,1,1,1,1,1,1,3,1,1,1,1,3,-1,3,2,3,1,2,2,1,3,3,-1,3,3,3,2,3,1,3,1,3,3,3,3,2,3,3,3,2,2,3,2,1,1,1,2,1,1,1,1,2,1, ,2, , ,2,3,1,5,0,65,6,4,12,4,1,1,1,3,3,9,1,1,4,9,2,93,0,0,0,0,3,6,1,.5605,9
37,2,2,3,3,1,3,3,3,3,3,1,2,2,2,1,3,1,1,1,2,2,1,1,2,2,1,1,3,1,3,2,1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,-1,3,1,1,3,2,3,2,2,2,2, ,3,3,1,1,2,1,1,1,1,3,3, , , ,1,1,6,1,5,0,71,6,4,9,2,1,1,1,1,1,6,2,0,3,5,1,55,0,0,0,0,1,5,1,.6448,7
38,1,3,2,2,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,1,2,1,1,1,1,1,1,1,7,2, , ,1, , ,1,1,5,0,40,3,2,9,2,1,1,1,2,1,7,5,1,1,1,2,16,0,0,0,0,2,1,1,.9958,9
39,2,2,2,1,1,3,3,3,3,3,2,3,2,3,3,2,2,3,3,2,3,1,3,1,1,1,1,3,3,3,1,2,1,1,2,1,3,2,3,2,2,1,2,1,1,2,1,3,2,3,2,1,2,3,1,3,1, ,1,2,1,1,1,1,1,1,1,6,2, , ,2, , ,4,1,5,0,69,6,4,9,2,1,2,1,2,1,6,3,0,1,2,1,23,0,0,0,0,2,6,1,.7137,110
40,2,3,2,3,3,3,3,3,3,3,1,2,3,2,2,3,1,1,1,2,2,2,1,2,2,1,3,3,3,3,3,2,3,3,1,4,3,3,3,3,2,3,3,2,3,3,1,2,1,2,2,3,3,3,2,3,3, ,2,2,1,1,2,2,1,2,1,3,4, , , ,1,3,5,1,5,0,23,1,1,10,3,1,1,0,4,1,11,5,1,2,3,1,34,0,0,0,0,4,7,1,1.1279,13
41,2,1,2,1,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,3,3,2,2,1,1,-1,1,3,3,2,3,1,3,3,3,3,3,3,2,3,3,3,1,3,3,1,2,2, ,1,1,1,1,1,2,2,1,1,6,2, , ,2, , ,2,1,1,1,38,3,2,13,4,4,2,1,3,1,14,6,1,4,8,2,85,0,1,0,0,2,1,1,.9757,6
42,2,2,3,4,2,3,3,3,3,3,2,1,-1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,3,3,2,1,2,2,2,3,2,3,3,3,3,3,2,1,2,1,3,2,2,3,3,3,3,2, ,3,1,1,1,2,1,1,1,1,1,1, ,1, , ,1,6,1,5,0,30,2,2,11,3,1,1,1,1,3,7,5,0,2,3,1,33,0,0,0,0,1,1,0,1.1341,19
43,2,4,4,4,4,3,3,3,3,3,1,3,3,3,3,3,1,3,1,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3, ,1,1,1,1,2,1,2,1,1,1,1, ,1, , ,1,6,1,5,0,39,3,2,12,4,1,1,1,2,3,14,6,1,3,7,2,74,0,0,0,0,2,1,1,.9998,19
44,2,1,1,1,1,3,3,3,3,3,3,2,3,2,1,3,2,1,1,2,2,2,3,3,3,1,1,3,2,3,1,1,2,1,1,2,3,3,2,2,3,3,2,3,3,3,1,2,3,3,2,2,2,3,2,1,2,1,3,3,1,2,1,2,1,2,1,7,2, , ,1, , ,4,1,5,0,59,5,3,14,4,1,1,1,3,1,18,1,1,4,9,1,93,0,0,0,0,3,1,1,.6167,9
